primary_fabric,secondary_fabric,cmt,embellishments,trims,compliance,quantity,rejection_factor,markup_pct,base_cost,material_ratio,labor_intensity,embellishment_complexity,order_scale,formula_per_piece,actual_per_piece,formula_total,actual_total
271.32,5.7,83.25,65.79,14.49,24.7,3390,1.06,42.2,465.25,0.5954,0.1789,0.1414,8.1289,701.28,719.54,2377341.34,2439256.77
343.45,10.49,177.07,3.96,52.49,28.62,1154,1.121,36.8,616.08,0.5745,0.2874,0.0064,7.0519,944.78,1009.48,1090271.42,1164943.2
27.08,108.03,125.14,6.25,13.77,16.45,5700,1.054,7.4,296.72,0.4553,0.4217,0.0211,8.6484,335.89,359.12,1914549.36,2046996.5
83.5,86.55,78.14,55.18,8.16,25.07,8176,1.043,37.4,336.6,0.5052,0.2321,0.1639,9.0091,482.38,475.23,3943901.28,3885453.1
96.99,114.92,134.55,40.68,42.34,30.59,9660,1.056,36.2,460.07,0.4606,0.2925,0.0884,9.1759,661.71,689.63,6392078.02,6661781.69
114.48,21.46,179.76,31.43,44.04,19.57,95,1.097,30.2,410.74,0.331,0.4376,0.0765,4.5643,586.66,642.59,55732.46,61046.29
195.16,107.77,137.78,69.87,31.26,12.5,6135,1.096,21.4,554.34,0.5465,0.2485,0.126,8.7219,737.57,735.45,4525015.02,4511981.27
178.96,45.7,61.8,34.08,22.35,18.19,6799,1.063,44.2,361.08,0.6222,0.1712,0.0944,8.8247,553.48,575.75,3763110.75,3914512.16
204.9,0.74,112.9,49.62,47.87,25.97,1815,1.05,39.0,442.0,0.4652,0.2554,0.1123,7.5044,645.1,676.43,1170854.69,1227721.27
36.68,99.32,20.26,75.17,45.69,15.12,1779,1.086,26.1,292.24,0.4654,0.0693,0.2572,7.4844,400.21,421.15,711968.07,749231.3
104.96,113.56,83.32,59.0,23.15,4.43,2099,1.108,28.6,388.42,0.5626,0.2145,0.1519,7.6497,553.45,599.02,1161702.04,1257350.07
201.86,66.95,146.01,16.03,59.14,2.93,5003,1.008,6.4,492.92,0.5453,0.2962,0.0325,8.518,528.66,564.14,2644899.06,2822371.41
326.18,94.13,154.77,72.36,25.7,39.72,8818,1.115,39.0,712.86,0.5896,0.2171,0.1015,9.0847,1104.83,1123.94,9742356.29,9910922.41
78.15,100.7,61.18,29.78,51.6,37.6,9410,1.032,16.1,359.01,0.4982,0.1704,0.083,9.1496,430.15,446.97,4047697.85,4206005.55
266.44,70.85,160.92,36.65,52.92,15.93,1839,1.082,41.6,603.71,0.5587,0.2666,0.0607,7.5175,924.95,950.49,1700985.51,1747955.53
227.91,62.36,81.83,17.41,40.13,29.64,6615,1.079,44.5,459.28,0.632,0.1782,0.0379,8.7972,716.09,726.55,4736926.81,4806122.01
84.66,73.9,153.57,22.92,55.48,13.02,2694,1.037,11.6,403.55,0.3929,0.3805,0.0568,7.8992,467.03,511.06,1258165.85,1376789.23
228.2,112.26,83.07,54.32,5.61,19.89,439,1.007,8.0,503.35,0.6764,0.165,0.1079,6.0868,547.42,578.6,240318.84,254003.74
274.92,74.93,20.93,56.94,28.96,20.79,9444,1.107,19.3,477.47,0.7327,0.0438,0.1193,9.1532,630.57,618.03,5955114.72,5836659.78
77.96,88.19,20.15,75.54,19.02,9.85,9044,1.08,31.1,290.71,0.5715,0.0693,0.2598,9.11,411.61,403.6,3722605.13,3650199.07
211.89,60.85,174.78,37.3,8.51,33.09,4576,1.083,42.0,526.42,0.5181,0.332,0.0709,8.4288,809.56,821.49,3704547.76,3759158.96
159.61,25.98,147.17,56.06,14.74,14.33,8254,1.075,9.7,417.89,0.4441,0.3522,0.1342,9.0186,492.81,480.75,4067630.87,3968094.42
292.2,75.54,78.65,37.4,34.98,6.29,305,1.035,25.7,525.06,0.7004,0.1498,0.0712,5.7236,683.1,716.47,208345.63,218522.94
36.19,4.24,148.19,61.54,34.63,5.04,1320,1.041,15.1,289.83,0.1395,0.5113,0.2123,7.1861,347.27,371.95,458398.64,490967.54
208.29,60.45,163.68,72.26,20.64,24.98,268,1.117,25.1,550.3,0.4884,0.2974,0.1313,5.5947,768.97,795.22,206084.24,213118.44
230.17,104.59,100.26,59.93,49.83,18.47,3799,1.071,37.7,563.25,0.5943,0.178,0.1064,8.2428,830.66,872.84,3155686.89,3315934.74
274.29,12.32,121.22,54.2,8.35,30.43,4038,1.017,43.1,500.81,0.5723,0.242,0.1082,8.3038,728.84,750.3,2943065.27,3029731.29
179.68,1.84,124.38,12.72,58.37,38.41,6001,1.099,35.5,415.4,0.437,0.2994,0.0306,8.6998,618.59,646.12,3712163.59,3877377.09
134.48,86.18,57.85,37.53,49.07,17.75,1790,1.109,6.0,382.86,0.5763,0.1511,0.098,7.4905,450.07,488.11,805620.37,873709.93
323.1,93.64,177.28,11.99,33.71,25.0,6612,1.045,32.3,664.72,0.6269,0.2667,0.018,8.7968,919.0,916.96,6076419.17,6062925.96
327.71,13.36,69.47,40.21,30.37,24.49,2438,1.019,32.4,505.61,0.6746,0.1374,0.0795,7.7993,682.15,740.77,1663073.81,1805998.53
326.62,106.97,130.47,28.78,46.04,19.23,2974,1.13,34.6,658.11,0.6588,0.1982,0.0437,7.998,1000.97,1013.04,2976891.17,3012785.12
114.26,38.41,177.38,72.34,29.49,37.27,74,1.11,12.6,469.15,0.3254,0.3781,0.1542,4.3175,586.37,620.07,43391.51,45885.3
247.24,77.51,88.21,33.08,8.82,35.94,723,1.121,34.9,490.8,0.6617,0.1797,0.0674,6.5848,742.2,778.23,536612.04,562662.42
70.99,110.56,162.34,76.92,24.31,11.95,3661,1.005,26.5,457.07,0.3972,0.3552,0.1683,8.2058,581.08,605.46,2127350.42,2216572.04
346.03,96.75,60.23,66.92,28.91,16.58,7409,1.08,35.9,615.42,0.7195,0.0979,0.1087,8.9106,903.26,915.57,6692284.77,6783483.87
265.48,49.47,104.21,29.87,48.85,27.31,422,1.086,23.4,525.19,0.5997,0.1984,0.0569,6.0474,703.82,772.41,297011.92,325957.98
300.41,92.68,38.81,64.52,28.73,2.97,8014,1.037,21.1,528.12,0.7443,0.0735,0.1222,8.9891,663.22,644.05,5315019.38,5161410.46
163.64,3.32,97.63,48.29,28.88,10.26,4895,1.038,38.7,352.02,0.4743,0.2773,0.1372,8.4962,506.81,533.54,2480811.97,2611684.53
41.16,14.18,28.4,23.26,48.16,12.68,6656,1.009,5.9,167.84,0.3297,0.1692,0.1386,8.8034,179.34,182.73,1193701.97,1216277.93
94.14,82.27,18.25,20.71,41.42,23.78,3733,1.118,27.6,280.57,0.6288,0.065,0.0738,8.2252,400.25,403.28,1494141.4,1505430.67
324.59,87.45,63.88,26.75,39.93,6.73,3577,1.007,35.9,549.33,0.7501,0.1163,0.0487,8.1826,751.77,785.36,2689064.29,2809230.27
175.18,64.86,167.69,26.97,12.75,5.27,5638,1.091,44.2,452.72,0.5302,0.3704,0.0596,8.6375,712.23,736.62,4015547.46,4153090.74
284.6,45.83,114.93,54.36,50.48,7.15,1942,1.133,28.9,557.35,0.5929,0.2062,0.0975,7.572,813.97,824.94,1580738.6,1602032.91
148.2,46.35,74.46,65.25,32.48,14.1,8635,1.031,42.8,380.84,0.5108,0.1955,0.1713,9.0637,560.7,561.39,4841631.94,4847605.9
336.57,12.46,167.27,52.74,36.69,15.51,1182,1.048,42.5,621.24,0.5618,0.2693,0.0849,7.0758,927.76,973.52,1096612.1,1150700.84
211.13,6.08,73.42,2.07,20.88,37.1,811,1.14,37.0,350.68,0.6194,0.2094,0.0059,6.6995,547.69,593.62,444178.23,481422.1
170.85,117.28,34.93,11.05,32.18,23.17,8202,1.071,13.0,389.46,0.7398,0.0897,0.0284,9.0123,471.34,486.62,3865899.31,3991289.31
255.47,1.62,30.31,35.42,18.3,8.31,4260,1.076,21.1,349.43,0.7357,0.0867,0.1014,8.3573,455.32,476.72,1939662.64,2030831.69
84.18,3.9,77.89,59.18,54.28,24.91,7227,1.052,18.7,304.34,0.2894,0.2559,0.1945,8.8857,380.04,406.52,2746524.96,2937948.54
72.87,92.94,168.39,10.02,26.1,21.06,576,1.093,22.9,391.38,0.4237,0.4302,0.0256,6.3578,525.74,582.18,302826.0,335338.45
22.69,82.65,27.72,23.4,32.66,4.0,933,1.084,16.0,193.12,0.5455,0.1435,0.1212,6.8395,242.84,267.53,226566.75,249601.97
256.86,14.02,37.49,74.63,44.95,7.17,2732,1.041,29.3,435.12,0.6225,0.0862,0.1715,7.9132,585.68,630.99,1600070.05,1723862.18
117.84,23.03,154.99,31.68,44.46,7.09,5995,1.039,5.8,379.09,0.3716,0.4088,0.0836,8.6988,416.72,414.24,2498231.79,2483381.19
105.84,79.05,59.12,45.07,5.66,8.07,8203,1.048,26.8,302.81,0.6106,0.1952,0.1488,9.0124,402.39,411.45,3300832.3,3375149.19
289.88,38.53,60.24,29.84,10.99,38.33,3516,1.062,34.1,467.81,0.702,0.1288,0.0638,8.1654,666.23,714.45,2342457.19,2511989.12
295.35,29.04,69.23,18.17,23.59,15.89,717,1.099,36.1,451.27,0.7188,0.1534,0.0403,6.5765,674.98,714.31,483962.19,512160.54
275.25,49.9,103.73,19.66,51.57,24.5,5976,1.132,9.0,524.61,0.6198,0.1977,0.0375,8.6957,647.31,639.56,3868299.38,3822013.78
284.5,12.16,131.78,32.28,58.75,5.28,1989,1.112,43.7,524.75,0.5653,0.2511,0.0615,7.5959,838.52,873.66,1667818.5,1737706.57
241.03,60.57,72.77,71.52,49.32,35.14,9563,1.075,41.9,530.35,0.5687,0.1372,0.1349,9.1658,809.01,822.9,7736554.49,7869379.17
237.07,116.48,34.0,70.71,50.03,8.69,2316,1.107,38.3,516.98,0.6839,0.0658,0.1368,7.748,791.49,807.76,1833082.87,1870776.14
146.79,30.61,163.99,48.8,55.2,22.13,7407,1.147,32.2,467.52,0.3794,0.3508,0.1044,8.9103,708.92,743.83,5250944.31,5509529.31
251.75,11.04,137.02,24.92,56.39,39.29,6781,1.097,28.2,520.41,0.505,0.2633,0.0479,8.822,731.88,758.78,4962882.93,5145304.2
181.64,60.23,81.59,53.06,30.83,39.7,7157,1.079,15.2,447.05,0.541,0.1825,0.1187,8.876,555.69,579.66,3977049.9,4148592.91
85.49,41.42,158.07,13.33,38.35,18.12,3505,1.082,43.8,354.78,0.3577,0.4455,0.0376,8.1622,552.01,584.17,1934787.61,2047521.65
205.25,81.77,57.03,45.67,45.51,8.16,7092,1.094,17.4,443.39,0.6473,0.1286,0.103,8.8669,569.47,578.57,4038685.54,4103239.55
127.83,87.39,101.07,55.0,42.42,13.05,59,1.029,22.3,426.76,0.5043,0.2368,0.1289,4.0943,537.06,582.84,31686.74,34387.55
82.59,9.0,38.44,29.24,24.34,22.64,5369,1.042,8.1,206.25,0.4441,0.1864,0.1418,8.5886,232.32,246.65,1247328.29,1324248.69
27.71,114.36,120.12,78.26,36.59,26.54,3250,1.132,17.6,403.58,0.352,0.2976,0.1939,8.0867,537.26,547.8,1746090.48,1780350.38
244.6,21.27,59.19,45.24,53.35,34.22,1621,1.119,40.7,457.87,0.5807,0.1293,0.0988,7.3914,720.89,744.94,1168555.62,1207540.08
131.93,71.56,74.83,33.49,35.33,27.02,2065,1.14,29.9,374.16,0.5439,0.2,0.0895,7.6334,554.08,586.27,1144172.26,1210648.59
287.76,28.31,120.58,36.98,8.4,27.92,4022,1.117,15.2,509.95,0.6198,0.2365,0.0725,8.2998,656.2,704.47,2639218.3,2833361.85
123.24,35.63,93.57,20.94,41.29,6.09,9691,1.072,19.5,320.76,0.4953,0.2917,0.0653,9.1791,410.91,418.48,3982093.83,4055446.38
75.86,7.49,77.83,12.34,34.3,16.53,8955,1.022,16.4,224.35,0.3715,0.3469,0.055,9.1001,266.89,266.6,2389987.01,2387386.76
332.72,92.31,129.06,53.48,42.61,9.18,6348,1.083,9.2,659.36,0.6446,0.1957,0.0811,8.7561,779.78,818.48,4950061.68,5195683.95
201.99,79.97,99.76,61.87,21.16,31.71,670,1.054,19.8,496.46,0.5679,0.2009,0.1246,6.5088,626.88,683.13,420006.97,457700.26
96.23,92.69,72.09,59.68,56.05,2.82,5536,1.03,21.9,379.56,0.4977,0.1899,0.1572,8.6192,476.56,508.25,2638259.13,2813673.69
155.3,114.0,61.08,59.52,19.34,8.36,3289,1.101,39.8,417.6,0.6449,0.1463,0.1425,8.0986,642.77,689.4,2114067.52,2267447.64
339.95,111.68,21.28,73.85,47.47,14.38,5006,1.089,27.9,608.61,0.7421,0.035,0.1213,8.5186,847.69,867.33,4243540.52,4341857.0
115.34,104.27,97.26,30.22,24.63,32.8,65,1.067,26.4,404.52,0.5429,0.2404,0.0747,4.1897,545.57,577.34,35462.13,37526.79
229.9,112.57,126.63,64.81,10.6,11.7,3168,1.132,17.4,556.21,0.6157,0.2277,0.1165,8.0612,739.19,766.75,2341739.0,2429063.46
41.21,76.68,94.81,11.54,24.2,17.76,2903,1.015,24.3,266.2,0.4429,0.3562,0.0434,7.9738,335.85,362.92,974972.26,1053545.67
21.22,44.83,158.6,37.15,11.16,12.55,1560,1.005,11.4,285.51,0.2313,0.5555,0.1301,7.3531,319.65,339.47,498651.55,529568.5
272.45,39.1,101.75,41.78,54.08,30.37,3634,1.128,36.1,539.53,0.5774,0.1886,0.0774,8.1984,828.29,864.09,3010008.67,3140085.31
221.18,24.73,107.37,19.55,32.62,32.35,3452,1.036,23.1,437.8,0.5617,0.2452,0.0447,8.147,558.33,592.8,1927366.71,2046350.32
269.83,90.64,47.76,12.51,6.02,32.64,3874,1.093,43.1,459.4,0.7847,0.104,0.0272,8.2623,718.54,748.52,2783622.91,2899771.06
134.58,119.81,142.26,75.1,45.9,7.29,6035,1.113,37.8,524.94,0.4846,0.271,0.1431,8.7055,805.11,833.14,4858825.74,5028008.79
300.11,40.21,54.62,3.79,12.79,20.53,8337,1.096,29.1,432.05,0.7877,0.1264,0.0088,9.0286,611.32,611.71,5096600.67,5099867.83
311.11,81.75,53.13,44.72,13.53,34.97,5671,1.142,28.7,539.21,0.7286,0.0985,0.0829,8.6433,792.51,837.07,4494301.83,4746998.21
76.04,86.08,90.86,42.34,44.59,25.76,3482,1.081,23.4,365.67,0.4434,0.2485,0.1158,8.1556,487.79,516.73,1698474.19,1799240.12
243.52,45.92,172.6,52.11,52.22,28.74,3585,1.067,34.5,595.11,0.4864,0.29,0.0876,8.1848,854.05,863.86,3061773.87,3096942.82
167.03,72.58,132.5,9.76,15.04,18.95,9144,1.055,44.6,415.86,0.5762,0.3186,0.0235,9.121,634.41,654.18,5801016.75,5981786.0
227.07,19.13,114.43,2.9,57.34,20.28,3744,1.058,30.1,441.15,0.5581,0.2594,0.0066,8.2282,607.22,641.07,2273448.33,2400178.49
121.51,27.49,19.43,38.61,5.47,13.93,5113,1.03,35.8,226.44,0.658,0.0858,0.1705,8.5397,316.73,339.06,1619444.0,1733603.93
266.39,70.15,87.86,52.37,55.94,23.85,5109,1.089,18.4,556.56,0.6047,0.1579,0.0941,8.539,717.62,718.76,3666295.58,3672160.87
325.23,53.54,70.3,63.09,38.73,30.53,1488,1.09,13.7,581.42,0.6515,0.1209,0.1085,7.3059,720.57,740.03,1072210.02,1101160.06
158.11,60.68,41.12,39.89,13.53,27.13,5844,1.126,17.6,340.46,0.6426,0.1208,0.1172,8.6733,450.83,457.87,2634644.45,2675820.32
85.77,111.56,85.11,75.94,41.89,16.12,555,1.002,36.9,416.39,0.4739,0.2044,0.1824,6.3208,571.18,602.69,317003.78,334491.64
329.99,48.97,17.13,31.75,58.8,2.18,1700,1.068,25.8,488.82,0.7753,0.035,0.065,7.439,656.75,692.88,1116477.0,1177891.67
131.75,50.63,28.59,14.91,45.49,9.45,3699,1.013,13.4,280.82,0.6495,0.1018,0.0531,8.2161,322.59,334.99,1193259.41,1239137.89
104.77,38.55,95.25,23.86,20.63,15.06,3692,1.146,39.3,298.12,0.4807,0.3195,0.08,8.2142,475.91,499.8,1757067.88,1845253.18
97.59,29.07,62.29,30.9,35.14,9.02,9495,1.091,8.5,264.01,0.4798,0.2359,0.117,9.1586,312.52,328.48,2967357.25,3118950.21
226.03,7.15,22.84,66.49,17.49,36.52,3784,1.029,15.1,376.52,0.6193,0.0607,0.1766,8.2388,445.94,475.12,1687445.97,1797870.91
318.34,41.93,17.19,76.07,48.85,16.02,194,1.059,42.9,518.4,0.695,0.0332,0.1467,5.273,784.5,824.87,152193.08,160025.73
190.34,91.54,31.71,52.4,46.5,27.67,6167,1.117,6.4,440.16,0.6404,0.072,0.119,8.7271,523.12,516.88,3226111.12,3187572.59
245.77,92.57,168.91,4.39,48.32,11.33,8037,1.134,18.6,571.29,0.5922,0.2957,0.0077,8.9919,768.34,773.01,6175161.7,6212643.02
38.25,58.35,157.73,58.55,41.9,33.82,4217,1.112,19.0,388.6,0.2486,0.4059,0.1507,8.3471,514.23,530.86,2168493.61,2238650.35
27.72,27.66,81.42,30.2,45.91,23.29,4577,1.134,31.4,236.2,0.2345,0.3447,0.1279,8.429,351.96,373.65,1610902.39,1710184.65
92.18,23.21,173.51,13.92,5.08,24.79,7935,1.059,43.7,332.69,0.3468,0.5215,0.0418,8.9792,506.28,495.63,4017347.56,3932800.22
44.43,37.34,49.37,34.67,40.38,18.68,9309,1.115,36.7,224.87,0.3636,0.2195,0.1542,9.1388,342.75,345.73,3190640.93,3218363.73
189.28,99.67,37.41,7.22,22.42,33.18,7797,1.005,30.3,389.18,0.7425,0.0961,0.0186,8.9616,509.64,496.66,3973640.06,3872448.82
340.21,64.25,85.95,11.93,55.15,2.08,4236,1.091,15.6,559.57,0.7228,0.1536,0.0213,8.3516,705.73,712.61,2989461.46,3018613.98
234.89,75.7,101.73,62.37,37.17,28.21,9414,1.025,5.8,540.07,0.5751,0.1884,0.1155,9.1501,585.68,596.87,5513581.27,5618962.72
134.79,87.81,172.96,75.36,20.09,30.73,3837,1.142,35.4,521.74,0.4266,0.3315,0.1444,8.2527,806.75,825.66,3095499.24,3168073.68
157.78,94.04,87.84,9.16,46.75,12.54,4891,1.085,6.6,408.11,0.617,0.2152,0.0224,8.4954,472.02,488.39,2308669.91,2388726.62
188.37,109.82,51.78,53.09,53.24,28.49,6596,1.122,32.5,484.79,0.6151,0.1068,0.1095,8.7944,720.71,736.93,4753823.3,4860791.47
172.52,86.98,97.73,36.09,58.78,10.53,9905,1.125,29.7,462.63,0.5609,0.2112,0.078,9.2009,675.03,670.1,6686221.66,6637313.72
79.03,113.16,139.68,77.05,7.43,10.53,1857,1.098,10.4,426.88,0.4502,0.3272,0.1805,7.5273,517.46,546.39,960924.19,1014649.74
50.03,89.99,160.47,32.77,46.05,5.63,7023,1.095,33.6,384.94,0.3637,0.4169,0.0851,8.8571,563.14,580.71,3954907.11,4078297.92
308.43,46.27,82.58,0.31,10.0,28.41,3661,1.004,18.5,476.0,0.7452,0.1735,0.0007,8.2058,566.32,591.7,2073283.75,2166224.63
123.72,95.87,114.4,2.35,30.25,6.87,9848,1.118,10.0,373.46,0.588,0.3063,0.0063,9.1951,459.28,468.12,4523000.35,4610020.35
65.27,93.39,56.4,30.05,55.23,21.48,8606,1.107,24.2,321.82,0.493,0.1753,0.0934,9.0603,442.47,439.63,3807882.94,3783472.85
169.38,16.01,94.29,79.62,58.24,25.45,7296,1.116,34.4,442.99,0.4185,0.2128,0.1797,8.8952,664.44,658.92,4847772.28,4807470.54
130.2,104.95,179.82,9.46,17.65,13.97,4329,1.029,34.5,456.05,0.5156,0.3943,0.0207,8.3733,631.18,673.25,2732358.65,2914509.67
261.9,115.6,165.63,9.41,30.74,6.95,8301,1.029,6.6,590.23,0.6396,0.2806,0.0159,9.0243,647.43,662.49,5374329.3,5499313.11
203.77,38.86,140.39,76.89,15.3,14.77,8685,1.116,38.0,489.98,0.4952,0.2865,0.1569,9.0695,754.61,778.49,6553773.94,6761185.77
323.52,24.81,143.22,6.73,41.45,23.75,8450,1.128,7.0,563.48,0.6182,0.2542,0.0119,9.042,680.1,707.18,5746826.59,5975704.46
65.64,64.98,21.77,15.63,23.09,34.81,4396,1.093,31.6,225.92,0.5782,0.0964,0.0692,8.3887,324.96,343.44,1428526.87,1509779.23
178.38,35.42,83.9,44.99,21.11,32.78,7076,1.045,22.5,396.58,0.5391,0.2116,0.1134,8.8646,507.67,515.99,3592286.88,3651173.21
283.08,78.46,69.16,25.88,10.15,27.99,9973,1.044,24.8,494.72,0.7308,0.1398,0.0523,9.2077,644.58,648.84,6428362.68,6470897.8
316.2,34.29,164.08,2.14,41.45,30.81,511,1.109,20.7,588.97,0.5951,0.2786,0.0036,6.2383,788.37,852.95,402858.83,435857.99
79.62,62.42,19.13,59.88,43.3,38.2,1527,1.029,29.1,302.55,0.4695,0.0632,0.1979,7.3317,401.92,420.35,613730.65,641875.64
248.42,69.62,51.43,76.93,40.66,2.72,581,1.104,20.1,489.78,0.6494,0.105,0.1571,6.3665,649.4,694.42,377302.13,403459.59
224.01,73.16,154.98,75.68,7.06,15.82,4486,1.128,7.9,550.71,0.5396,0.2814,0.1374,8.4089,670.28,717.63,3006857.01,3219300.54
280.43,81.2,158.94,6.58,17.96,38.95,2914,1.065,44.3,584.06,0.6192,0.2721,0.0113,7.9776,897.58,934.66,2615549.54,2723612.84
272.05,94.34,31.64,25.57,41.21,39.35,9043,1.026,35.7,504.16,0.7267,0.0628,0.0507,9.1099,701.93,718.54,6347579.15,6497793.84
42.66,5.77,114.63,79.46,10.51,19.86,3948,1.08,43.7,272.89,0.1775,0.4201,0.2912,8.2812,423.51,442.44,1672034.71,1746735.1
237.44,117.32,169.5,74.59,46.08,3.83,6648,1.115,6.2,648.76,0.5468,0.2613,0.115,8.8022,768.22,771.42,5107101.16,5128382.47
221.68,95.18,70.54,58.74,59.7,10.02,8065,1.078,22.6,515.86,0.6142,0.1367,0.1139,8.9954,681.78,676.7,5498515.54,5457584.56
324.87,95.19,101.69,32.36,10.9,5.76,1506,1.038,44.8,570.77,0.736,0.1782,0.0567,7.3179,857.88,914.61,1291968.8,1377399.68
63.9,107.81,46.52,44.61,16.37,31.41,2680,1.082,6.3,310.62,0.5528,0.1498,0.1436,7.8939,357.26,390.93,957469.03,1047681.42
242.84,107.2,151.63,15.42,13.71,16.57,7741,1.137,27.5,547.37,0.6395,0.277,0.0282,8.9544,793.51,821.47,6142550.11,6358978.52
116.22,19.53,154.15,17.54,55.09,30.77,7038,1.112,29.9,393.3,0.3452,0.3919,0.0446,8.8592,568.12,584.75,3998408.36,4115504.27
212.32,15.88,77.08,29.28,31.01,19.69,8180,1.126,23.2,385.26,0.5923,0.2001,0.076,9.0096,534.45,555.08,4371760.1,4540550.43
67.49,87.72,99.89,35.54,6.97,13.16,2963,1.014,18.1,310.77,0.4994,0.3214,0.1144,7.9943,372.16,414.5,1102703.09,1228154.01
88.88,57.05,134.72,28.0,11.93,33.95,2664,1.088,24.7,354.53,0.4116,0.38,0.079,7.888,481.0,510.88,1281393.63,1360982.06
296.92,80.54,127.22,9.84,40.72,19.97,639,1.126,41.7,575.21,0.6562,0.2212,0.0171,6.4615,917.77,949.02,586456.13,606424.89
125.81,103.43,63.62,10.68,55.79,10.0,3926,1.044,17.8,369.33,0.6207,0.1723,0.0289,8.2756,454.21,476.28,1783243.59,1869872.06
188.83,37.77,131.3,27.92,48.19,34.24,9314,1.003,25.6,468.25,0.4839,0.2804,0.0596,9.1394,589.89,579.65,5494201.61,5398830.02
67.55,35.59,144.98,13.83,31.61,33.68,2787,1.037,30.9,327.24,0.3152,0.443,0.0423,7.9331,444.21,472.93,1238003.17,1318063.79
184.76,105.59,122.86,13.26,22.85,12.47,7378,1.058,19.3,461.79,0.6287,0.2661,0.0287,8.9064,582.87,612.28,4300404.29,4517377.28
319.68,54.66,138.14,54.04,26.25,5.56,795,1.081,9.0,598.33,0.6256,0.2309,0.0903,6.6796,705.01,766.74,560479.97,609557.24
306.34,4.0,143.21,44.42,8.59,23.75,730,1.105,39.9,530.31,0.5852,0.27,0.0838,6.5944,819.8,883.25,598456.61,644775.82
219.05,33.37,166.91,51.89,41.17,34.19,4561,1.024,28.6,546.58,0.4618,0.3054,0.0949,8.4255,719.77,756.29,3282877.93,3449434.94
144.91,23.47,57.76,27.6,5.33,11.72,9184,1.089,34.2,270.79,0.6218,0.2133,0.1019,9.1253,395.74,402.7,3634501.84,3698413.7
322.51,84.48,136.37,25.16,18.11,10.07,9672,1.122,6.8,596.7,0.6821,0.2285,0.0422,9.1771,715.02,703.46,6915704.61,6803901.13
51.29,110.61,135.52,49.33,56.51,7.16,7111,1.137,40.9,410.42,0.3945,0.3302,0.1202,8.8695,657.51,672.24,4675527.9,4780271.36
241.75,105.14,153.85,62.47,5.09,29.37,2925,1.012,12.6,597.67,0.5804,0.2574,0.1045,7.9814,681.05,752.38,1992077.5,2200720.02
51.45,57.37,149.24,30.84,24.99,22.0,3155,1.08,30.7,335.89,0.324,0.4443,0.0918,8.0571,474.13,515.34,1495876.64,1625899.64
327.72,25.2,98.48,6.08,9.65,7.1,6345,1.132,6.2,474.23,0.7442,0.2077,0.0128,8.7556,570.11,584.14,3617358.85,3706342.46
171.67,65.17,39.62,67.63,10.52,33.12,5532,1.103,44.6,387.73,0.6108,0.1022,0.1744,8.6185,618.41,646.11,3421018.18,3574256.14
252.06,102.82,66.3,24.68,47.2,16.22,9603,1.042,37.5,509.28,0.6968,0.1302,0.0485,9.1699,729.67,740.88,7007029.84,7114704.65
346.75,63.55,39.07,51.11,22.71,32.24,4557,1.039,26.1,555.43,0.7387,0.0703,0.092,8.4246,727.71,720.23,3316186.87,3282084.52
88.16,90.47,92.07,68.7,56.07,13.63,5349,1.014,43.9,409.1,0.4366,0.2251,0.1679,8.5849,596.94,605.01,3193014.03,3236211.09
33.22,61.38,44.33,52.41,25.21,26.76,4251,1.111,24.8,243.31,0.3888,0.1822,0.2154,8.3551,337.36,356.37,1434100.9,1514948.64
308.03,53.81,19.11,12.31,11.79,16.73,1008,1.112,20.3,421.78,0.8579,0.0453,0.0292,6.9167,564.23,594.05,568744.13,598805.66
280.5,64.29,105.27,71.27,30.31,27.08,8901,1.022,21.3,578.72,0.5958,0.1819,0.1232,9.094,717.43,720.44,6385854.06,6412597.15
236.96,65.56,79.12,29.45,8.28,33.61,1116,1.021,11.9,452.98,0.6678,0.1747,0.065,7.0184,517.53,555.66,577562.58,620117.69
151.77,10.16,114.94,27.46,12.19,32.57,7935,1.043,41.9,349.09,0.4639,0.3293,0.0787,8.9792,516.66,518.11,4099690.23,4111166.89
98.32,83.36,166.18,18.19,56.09,11.69,8114,1.085,17.5,433.83,0.4188,0.3831,0.0419,9.0015,553.08,553.95,4487683.18,4494715.16
129.56,115.38,125.1,10.94,40.38,26.99,6171,1.1,44.4,448.35,0.5463,0.279,0.0244,8.7278,712.16,729.47,4394734.05,4501574.85
59.94,103.12,166.98,43.85,54.87,23.57,3019,1.071,27.4,452.33,0.3605,0.3692,0.0969,8.013,617.18,669.14,1863276.92,2020125.01
152.05,92.1,77.97,13.73,53.49,36.71,1298,1.063,6.1,426.05,0.5731,0.183,0.0322,7.1694,480.52,507.1,623711.73,658217.76
133.85,2.16,145.99,46.04,29.42,27.89,3701,1.058,29.7,385.35,0.353,0.3789,0.1195,8.2166,528.79,564.5,1957041.76,2089200.6
264.63,85.06,22.61,50.04,27.06,31.42,4747,1.062,21.7,480.82,0.7273,0.047,0.1041,8.4655,621.44,613.31,2949964.92,2911362.22
268.53,25.82,176.08,21.48,14.26,23.37,1899,1.121,35.8,529.54,0.5559,0.3325,0.0406,7.5496,806.13,831.77,1530837.59,1579534.35
88.26,77.59,38.29,24.17,9.93,35.88,7026,1.138,29.4,274.12,0.605,0.1397,0.0882,8.8575,403.66,418.51,2836125.25,2940447.03
