total_area,pattern_area,num_items,utilization_ratio,aspect_ratio_fabric,aspect_ratio_pattern,density,fabric_length,fabric_width,pattern_length,pattern_width,waste_percentage
83.5272,1.2103,50,0.7245,31.8272,0.6842,0.5986,51.56,1.62,0.91,1.33,26.64
290.2804,3.2028,47,0.5186,55.3537,1.2994,0.1619,126.76,2.29,2.04,1.57,48.64
169.0128,2.502,35,0.5181,24.25,1.295,0.2071,64.02,2.64,1.8,1.39,48.5
105.7588,1.89,45,0.8042,92.3738,2.3333,0.4255,98.84,1.07,2.1,0.9,20.53
400.014,0.5088,669,0.8509,88.169,0.5521,1.6724,187.8,2.13,0.53,0.96,12.96
114.0645,0.7315,123,0.7888,47.4774,0.8105,1.0783,73.59,1.55,0.77,0.95,20.22
287.184,1.6046,120,0.6705,49.8583,0.7958,0.4179,119.66,2.4,1.13,1.42,34.01
12.4124,1.078,3,0.2605,3.7473,1.1224,0.2417,6.82,1.82,1.1,0.98,75.0
405.657,2.261,150,0.8361,54.0328,0.7824,0.3698,148.05,2.74,1.33,1.7,15.1
401.9733,1.5707,125,0.4884,93.8116,1.2301,0.311,194.19,2.07,1.39,1.13,49.27
300.7644,1.197,178,0.7084,118.9686,1.0857,0.5918,189.16,1.59,1.14,1.05,30.78
205.5504,1.3068,50,0.3179,49.3922,3.0,0.2432,100.76,2.04,1.98,0.66,69.25
71.9766,1.1088,40,0.6162,27.4259,4.8125,0.5557,44.43,1.62,2.31,0.48,39.35
65.928,0.366,69,0.3831,9.1791,4.0667,1.0466,24.6,2.68,1.22,0.3,62.53
8.8382,1.363,5,0.7711,6.3475,1.5426,0.5657,7.49,1.18,1.45,0.94,21.7
169.8285,1.152,41,0.2781,36.7395,2.8125,0.2414,78.99,2.15,1.8,0.64,72.34
123.31,1.4282,50,0.5791,22.1398,2.6081,0.4055,52.25,2.36,1.93,0.74,41.31
299.8076,0.6795,321,0.7275,79.6598,0.298,1.0707,154.54,1.94,0.45,1.51,29.01
106.8788,3.008,12,0.3377,60.4211,1.8359,0.1123,80.36,1.33,2.35,1.28,64.56
222.4794,2.2632,92,0.9359,108.7972,1.1884,0.4135,155.58,1.43,1.64,1.38,4.75
185.7726,0.3234,377,0.6563,79.3595,0.7424,2.0294,121.42,1.53,0.49,0.66,35.18
131.8688,1.4904,30,0.3391,32.0,2.875,0.2275,64.96,2.03,2.07,0.72,64.38
176.5584,1.7825,66,0.6663,24.5821,0.7419,0.3738,65.88,2.68,1.15,1.55,34.03
17.9172,2.3547,4,0.5257,6.8272,1.1844,0.2232,11.06,1.62,1.67,1.41,45.82
386.7312,2.4544,50,0.3173,75.7168,2.2692,0.1293,171.12,2.26,2.36,1.04,68.01
65.229,0.546,68,0.5692,10.0314,1.2923,1.0425,25.58,2.55,0.84,0.65,41.13
317.7327,0.855,154,0.4144,101.4181,5.9211,0.4847,179.51,1.77,2.25,0.38,60.17
254.37,0.868,154,0.5255,75.9563,0.3613,0.6054,139.0,1.83,0.56,1.55,49.27
572.9195,0.4018,1005,0.7048,65.8339,2.3902,1.7542,194.21,2.95,0.98,0.41,28.65
60.2576,0.6844,36,0.4089,13.9279,2.0345,0.5974,28.97,2.08,1.18,0.58,60.15
227.3869,0.1568,1224,0.844,46.5566,1.5312,5.3829,102.89,2.21,0.49,0.32,14.52
152.7312,2.3838,59,0.9209,43.2128,0.7874,0.3863,81.24,1.88,1.37,1.74,7.51
107.2274,1.975,28,0.5157,29.3927,1.264,0.2611,56.14,1.91,1.58,1.25,49.22
502.788,3.4773,96,0.6639,61.4685,1.1618,0.1909,175.8,2.86,2.01,1.73,32.44
66.2613,1.8894,11,0.3137,34.295,1.0522,0.166,47.67,1.39,1.41,1.3399999999999999,68.61
39.4497,1.701,14,0.6037,13.4912,1.0714,0.3549,23.07,1.71,1.35,1.26,38.34
298.945,2.7216,105,0.9559,103.4412,1.037,0.3512,175.85,1.7,1.68,1.62,3.25
119.835,0.5457,93,0.4235,53.26,2.098,0.7761,79.89,1.5,1.07,0.51,58.52
135.1566,1.1662,64,0.5522,127.3981,1.2143,0.4735,131.22,1.03,1.19,0.98,44.76
141.0235,0.6058,124,0.5327,25.5362,8.9615,0.8793,60.01,2.35,2.33,0.26,44.85
341.472,0.4972,211,0.3072,92.6302,2.5682,0.6179,177.85,1.92,1.13,0.44,68.85
170.3268,2.1024,23,0.2839,107.2857,2.2812,0.135,135.18,1.26,2.19,0.96,73.0
266.6586,1.9152,54,0.3878,54.5973,0.655,0.2025,120.66,2.21,1.12,1.71,62.06
192.9792,1.8753,74,0.7191,101.3333,1.0602,0.3835,139.84,1.38,1.41,1.3299999999999998,28.25
104.625,0.2475,354,0.8374,66.96,1.2222,3.3835,83.7,1.25,0.55,0.45,15.88
149.5878,2.3484,29,0.4553,49.408,1.807,0.1939,85.97,1.74,2.06,1.14,55.7
300.6195,2.848,69,0.6537,46.2314,1.1125,0.2295,117.89,2.55,1.78,1.6,34.31
281.7456,0.6039,217,0.4651,112.8608,5.5455,0.7702,178.32,1.58,1.83,0.33,54.75
57.1658,0.7138,43,0.5369,50.8774,1.0361,0.7522,53.93,1.06,0.86,0.83,45.99
321.986,2.1168,135,0.8875,72.3223,1.8148,0.4193,152.6,2.11,1.96,1.08,9.41
424.4136,0.6195,403,0.5882,71.2869,1.7797,0.9495,173.94,2.44,1.05,0.59,40.96
152.7858,1.1832,62,0.4801,65.268,0.8793,0.4058,99.86,1.53,1.02,1.16,53.6
136.8228,1.7712,28,0.3625,105.2807,2.6341,0.2046,120.02,1.14,2.16,0.82,62.43
202.7592,3.3258,29,0.4757,31.9286,1.7464,0.143,80.46,2.52,2.41,1.38,53.08
31.2576,1.7384,14,0.7786,25.3694,1.5472,0.4479,28.16,1.11,1.64,1.06,22.59
354.2562,0.851,377,0.9056,68.7489,0.6435,1.0642,156.06,2.27,0.74,1.15,9.44
204.9906,2.2134,54,0.5831,179.0467,2.1275,0.2634,191.58,1.07,2.17,1.02,43.65
150.2444,0.9072,48,0.2898,33.4292,0.7778,0.3195,70.87,2.12,0.84,1.08,72.33
25.8609,1.41,11,0.5997,4.2389,1.5957,0.4254,10.47,2.47,1.5,0.94,41.52
251.574,1.1186,115,0.5113,33.0254,0.7899,0.4571,91.15,2.76,0.94,1.19,49.18
165.1026,0.9454,112,0.6413,110.9262,2.8103,0.6784,135.33,1.22,1.63,0.58,37.63
46.7556,0.8568,50,0.9163,23.5177,0.5397,1.0694,33.16,1.41,0.68,1.26,8.5
116.8896,2.1771,25,0.4656,71.3438,1.439,0.2139,91.32,1.28,1.77,1.23,53.01
144.7992,2.485,31,0.532,43.7143,1.2324,0.2141,79.56,1.82,1.75,1.42,45.46
310.4928,1.7952,70,0.4047,37.434,1.7255,0.2254,107.81,2.88,1.76,1.02,59.6
372.4285,0.2744,915,0.6742,94.0452,0.875,2.4568,187.15,1.99,0.49,0.56,33.35
156.4688,0.8662,137,0.7584,67.7237,0.582,0.8756,102.94,1.52,0.71,1.22,22.59
313.0776,1.43,143,0.6532,77.4925,1.43,0.4568,155.76,2.01,1.43,1.0,33.94
223.8708,0.8256,137,0.5052,57.6853,3.5833,0.612,113.64,1.97,1.72,0.48,48.4
219.261,1.1242,92,0.4717,86.7296,0.474,0.4196,137.9,1.59,0.73,1.54,52.69
82.386,1.334,23,0.3724,15.5739,1.0087,0.2792,35.82,2.3,1.16,1.15,63.07
345.8205,0.6213,434,0.7797,101.0432,0.5229,1.255,186.93,1.85,0.57,1.09,20.31
315.9324,1.377,203,0.8848,88.4444,0.4765,0.6425,167.16,1.89,0.81,1.7,9.97
299.0308,3.7791,39,0.4929,119.7848,1.6144,0.1304,189.26,1.58,2.47,1.53,52.46
316.6798,1.804,154,0.8773,99.9494,1.4909,0.4863,177.91,1.78,1.64,1.1,10.29
168.953,0.8477,79,0.3964,147.5701,3.5306,0.4676,157.9,1.07,1.73,0.49,58.66
229.7256,0.4292,484,0.9043,104.8784,1.2759,2.1069,155.22,1.48,0.74,0.58,10.89
146.1981,0.7839,64,0.3432,118.6577,1.7463,0.4378,131.71,1.11,1.17,0.67,64.01
112.2624,0.147,323,0.4229,30.4531,1.2,2.8772,58.47,1.92,0.42,0.35,57.41
190.7766,1.2036,36,0.2271,53.4074,0.8644,0.1887,100.94,1.89,1.02,1.18,78.16
283.833,0.6464,301,0.6855,35.6915,0.6337,1.0605,100.65,2.82,0.64,1.01,32.52
212.2737,2.36,21,0.2335,76.1138,1.6949,0.0989,127.11,1.67,2.0,1.18,76.36
208.6306,1.7052,78,0.6375,30.3931,0.7891,0.3739,79.63,2.62,1.16,1.47,36.79
41.2566,0.7448,17,0.3069,17.3961,5.1579,0.4121,26.79,1.54,1.96,0.38,69.95
285.527,0.7644,152,0.4069,69.9752,1.2564,0.5323,141.35,2.02,0.98,0.78,58.53
500.7765,0.2077,2082,0.8635,74.6525,0.4627,4.1575,193.35,2.59,0.31,0.67,13.36
432.302,2.2379,94,0.4866,63.95,1.1583,0.2174,166.27,2.6,1.61,1.39,51.9
200.4712,1.185,63,0.3724,37.2457,2.1067,0.3143,86.41,2.32,1.58,0.75,62.57
101.9456,0.1914,350,0.6571,55.1176,1.7576,3.4332,74.96,1.36,0.58,0.33,32.44
425.6616,1.1904,158,0.4419,57.1136,0.7266,0.3712,155.92,2.73,0.93,1.28,53.93
314.241,0.3869,754,0.9283,63.7613,1.3774,2.3994,141.55,2.22,0.73,0.53,5.36
173.7448,2.296,35,0.4625,32.2802,1.8304,0.2014,74.89,2.32,2.05,1.12,54.27
50.615,1.9203,22,0.8347,13.8743,0.6416,0.4347,26.5,1.91,1.11,1.73,17.08
16.9127,1.3944,4,0.3298,2.5212,4.4464,0.2365,6.53,2.59,2.49,0.56,67.02
176.8608,1.148,64,0.4154,21.3229,2.3429,0.3619,61.41,2.88,1.64,0.7,57.74
451.8317,1.3286,235,0.691,68.4086,2.4932,0.5201,175.81,2.57,1.82,0.73,29.61
179.6868,0.4028,413,0.9258,145.8378,0.3585,2.2984,161.88,1.11,0.38,1.06,8.3
422.2335,0.2952,1313,0.918,48.5186,5.125,3.1097,143.13,2.95,1.23,0.24,6.28
139.1666,0.93,34,0.2272,21.5709,0.93,0.2443,54.79,2.54,0.93,1.0,78.6
401.448,1.2648,127,0.4001,60.3101,3.2903,0.3164,155.6,2.58,2.04,0.62,61.76
174.384,0.5712,202,0.6617,21.0243,7.2857,1.1584,60.55,2.88,2.04,0.28,33.92
265.8005,1.1392,76,0.3257,150.2632,0.6953,0.2859,199.85,1.33,0.89,1.28,65.43
301.376,1.2876,95,0.4059,39.278,0.5878,0.3152,108.8,2.77,0.87,1.48,57.75
288.0189,0.6512,369,0.8343,50.4226,0.2973,1.2812,120.51,2.39,0.44,1.48,14.9
22.4576,0.8295,14,0.5171,15.3388,1.3291,0.6234,18.56,1.21,1.05,0.79,46.71
55.0853,1.107,28,0.5627,24.8121,3.7963,0.5083,36.97,1.49,2.05,0.54,45.16
99.1899,1.3205,65,0.8653,42.3725,1.4632,0.6553,64.83,1.53,1.39,0.95,14.73
169.0128,1.2606,31,0.2312,115.438,2.8939,0.1834,139.68,1.21,1.91,0.66,76.45
477.0816,1.035,314,0.6812,72.7969,0.7826,0.6582,186.36,2.56,0.9,1.15,32.96
350.3631,1.518,66,0.286,86.7214,3.1884,0.1884,174.31,2.01,2.2,0.69,71.36
47.2914,0.6032,25,0.3189,7.1047,2.2308,0.5286,18.33,2.58,1.16,0.52,69.9
378.6325,0.4941,478,0.6238,43.5085,6.7778,1.2624,128.35,2.95,1.83,0.27,38.19
51.9625,1.236,32,0.7612,33.256,0.8583,0.6158,41.57,1.25,1.03,1.2,24.61
229.2224,1.7177,61,0.4571,74.0,2.1685,0.2661,130.24,1.76,1.93,0.89,54.3
134.013,1.5741,31,0.3641,38.7366,1.6061,0.2313,72.05,1.86,1.59,0.99,65.0
234.2673,2.8098,64,0.7676,136.5115,1.7698,0.2732,178.83,1.31,2.23,1.26,24.03
444.1997,2.261,82,0.4174,61.3866,2.5053,0.1846,165.13,2.69,2.38,0.95,59.43
394.2588,1.8088,161,0.7386,99.5578,1.2773,0.4084,198.12,1.99,1.52,1.19,26.62
27.025,2.0152,8,0.5965,4.8936,2.6023,0.296,11.5,2.35,2.29,0.88,42.03
79.7547,2.1291,18,0.4805,12.8635,0.9338,0.2257,32.03,2.49,1.41,1.51,52.76
72.9575,2.337,8,0.2563,9.6473,2.5895,0.1097,26.53,2.75,2.46,0.95,73.73
172.7,1.3152,53,0.4036,35.6818,1.4271,0.3069,78.5,2.2,1.37,0.96,60.72
262.0125,1.0971,85,0.3559,51.7556,0.434,0.3244,116.45,2.25,0.69,1.59,65.28
82.3732,0.35,207,0.8795,38.6438,5.6,2.513,56.42,1.46,1.4,0.25,11.62
37.7487,2.1252,13,0.7319,4.8495,2.5109,0.3444,13.53,2.79,2.31,0.92,27.68
353.086,0.325,406,0.3737,50.2792,0.7692,1.1499,133.24,2.65,0.5,0.65,64.43
389.7415,2.2261,83,0.4741,98.4171,1.7434,0.213,195.85,1.99,1.97,1.13,51.25
157.7254,1.4344,36,0.3274,123.5221,1.8523,0.2282,139.58,1.13,1.63,0.88,65.3
43.0848,1.5748,8,0.2924,12.3209,1.0242,0.1857,23.04,1.87,1.27,1.24,69.31
121.4115,2.7507,27,0.6117,25.7834,0.9191,0.2224,55.95,2.17,1.59,1.73,39.39
298.9416,0.9198,291,0.8954,71.8333,0.4315,0.9734,146.54,2.04,0.63,1.46,11.48
286.1172,0.5148,162,0.2915,97.848,4.7273,0.5662,167.32,1.71,1.56,0.33,70.69
491.1528,3.2929,46,0.3084,56.0574,1.4832,0.0937,165.93,2.96,2.21,1.49,70.59
181.48,2.9875,39,0.642,107.3846,1.912,0.2149,139.6,1.3,2.39,1.25,36.74
102.595,2.1182,17,0.351,35.5,1.4958,0.1657,60.35,1.7,1.78,1.19,62.94
87.5472,0.1541,193,0.3397,58.8197,2.913,2.2045,71.76,1.22,0.67,0.23,67.05
141.1275,0.917,123,0.7992,58.7419,0.5344,0.8716,91.05,1.55,0.7,1.31,22.02
24.0392,0.3128,51,0.6636,6.0704,0.3696,2.1215,12.08,1.99,0.34,0.92,33.72
265.3788,0.5016,272,0.5141,39.8682,1.1515,1.0249,102.86,2.58,0.76,0.66,47.03
87.276,1.2636,18,0.2606,19.7905,1.0833,0.2062,41.56,2.1,1.17,1.08,73.98
71.2752,0.81,55,0.625,20.6022,2.25,0.7717,38.32,1.86,1.35,0.6,36.13
380.5373,2.9714,89,0.695,59.4506,1.0783,0.2339,150.41,2.53,1.79,1.66,31.61
122.2502,1.1956,80,0.7824,75.7953,0.8033,0.6544,96.26,1.27,0.98,1.22,22.95
90.616,1.0044,64,0.7094,15.6017,1.1613,0.7063,37.6,2.41,1.08,0.93,29.83
130.5116,0.9768,57,0.4266,96.9914,0.7928,0.4367,112.51,1.16,0.88,1.1099999999999999,57.05
126.293,1.6827,30,0.3997,34.9842,3.338,0.2375,66.47,1.9,2.37,0.71,61.62
68.864,1.8144,20,0.527,26.9,1.4464,0.2904,43.04,1.6,1.62,1.12,48.76
172.2396,2.3496,29,0.3956,51.4317,0.7416,0.1684,94.12,1.83,1.32,1.78,59.8
341.572,0.4756,479,0.667,70.5727,2.8293,1.4023,155.26,2.2,1.16,0.41,34.22
117.8338,1.3268,18,0.2027,83.2101,3.4516,0.1528,99.02,1.19,2.14,0.62,80
369.2715,1.8656,104,0.5254,97.1128,2.4091,0.2816,189.37,1.95,2.12,0.88,48.72
299.6068,2.886,46,0.4431,101.2733,1.7077,0.1535,174.19,1.72,2.22,1.3,56.99
324.292,2.65,43,0.3514,51.4741,1.696,0.1326,129.2,2.51,2.12,1.25,63.9
182.7016,1.3098,82,0.5879,23.6403,0.9407,0.4488,65.72,2.78,1.11,1.18,42.03
287.1888,2.08,85,0.6156,124.3026,1.9231,0.296,188.94,1.52,2.0,1.04,36.66
114.5452,1.3332,48,0.5587,48.2987,0.7652,0.419,74.38,1.54,1.01,1.32,44.71
36.8747,1.147,12,0.3733,31.0367,2.0946,0.3254,33.83,1.09,1.55,0.74,63.95
195.4,1.881,65,0.6257,195.4,2.0842,0.3327,195.4,1.0,1.98,0.95,38.55
455.4256,2.6499,50,0.2909,51.9797,1.8099,0.1098,153.86,2.96,2.19,1.21,69.97
65.1372,1.825,24,0.6724,18.828,1.168,0.3685,35.02,1.86,1.46,1.25,32.88
139.5755,1.7052,38,0.4642,26.6157,1.2672,0.2723,60.95,2.29,1.47,1.16,53.88
97.0,2.17,33,0.7382,25.7732,1.4113,0.3402,50.0,1.94,1.75,1.24,25.54
81.61,1.5675,18,0.3457,81.61,1.7368,0.2206,81.61,1.0,1.65,0.95,65.36
274.6224,0.9405,145,0.4966,103.362,2.8947,0.528,168.48,1.63,1.65,0.57,50.27
70.5425,3.108,8,0.3525,33.5517,1.5857,0.1134,48.65,1.45,2.22,1.4,64.26
215.9635,0.6608,237,0.7252,67.4022,0.5268,1.0974,120.65,1.79,0.59,1.12,27.32
197.411,1.9224,41,0.3993,154.6018,1.6481,0.2077,174.7,1.13,1.78,1.0799999999999998,59.03
443.9409,0.2619,1356,0.8,62.2734,3.5926,3.0545,166.27,2.67,0.97,0.27,20.38
416.9505,1.08,327,0.847,67.249,5.3333,0.7843,167.45,2.49,2.4,0.45,15.32
117.208,3.348,9,0.2571,59.8,1.837,0.0768,83.72,1.4,2.48,1.3499999999999999,72.82
235.8648,0.9381,128,0.5091,155.9024,3.3396,0.5427,191.76,1.23,1.77,0.53,48.68
219.7342,2.02,76,0.6987,147.6311,2.02,0.3459,180.11,1.22,2.02,1.0,30.74
320.76,3.2697,61,0.6218,54.321,1.0925,0.1902,132.0,2.43,1.89,1.73,38.41
37.7264,0.9125,13,0.3144,17.6986,1.7123,0.3446,25.84,1.46,1.25,0.73,68.59
193.858,0.3496,235,0.4238,37.6211,1.6522,1.2122,85.4,2.27,0.76,0.46,58.48
341.6696,1.0184,124,0.3696,100.9185,0.5672,0.3629,185.69,1.84,0.76,1.34,62.97
116.2723,2.5856,40,0.8895,16.8099,1.5781,0.344,44.21,2.63,2.02,1.28,10.21
112.613,0.24,267,0.569,31.1947,0.96,2.371,59.27,1.9,0.48,0.5,43.11
469.4568,0.539,748,0.8588,70.5271,1.1,1.5933,181.96,2.58,0.77,0.7,14.16
260.478,0.6622,335,0.8517,30.9724,0.2792,1.2861,89.82,2.9,0.43,1.54,14.31
17.7244,0.4056,33,0.7552,2.0788,6.0,1.8618,6.07,2.92,1.56,0.26,23.78
565.2736,3.2494,73,0.4196,70.0845,1.3701,0.1291,199.04,2.84,2.11,1.54,58.82
419.5401,1.6548,149,0.5877,67.6667,2.3452,0.3552,168.49,2.49,1.97,0.84,41.66
181.8068,0.5772,87,0.2762,44.1182,0.4685,0.4785,89.56,2.03,0.52,1.11,71.97
131.3025,0.9728,58,0.4297,31.2439,0.5938,0.4417,64.05,2.05,0.76,1.28,58.08
22.4361,3.5616,4,0.635,3.3969,1.4088,0.1783,8.73,2.57,2.24,1.59,34.72
378.182,1.328,167,0.5864,66.7647,2.075,0.4416,158.9,2.38,1.66,0.8,40.8
351.2952,0.6873,307,0.6006,41.4845,1.1013,0.8739,120.72,2.91,0.87,0.79,41.62
124.9554,0.6649,80,0.4257,96.1491,0.5596,0.6402,109.61,1.14,0.61,1.0899999999999999,56.87
73.1082,0.9701,53,0.7033,56.2544,0.8165,0.725,64.13,1.14,0.89,1.0899999999999999,28.13
137.6344,0.867,52,0.3276,46.5233,0.8333,0.3778,80.02,1.72,0.85,1.02,67.51
324.7938,2.5181,62,0.4807,53.6707,0.8817,0.1909,132.03,2.46,1.49,1.69,50.62
312.6772,0.3927,657,0.8251,97.5866,1.5098,2.1012,174.68,1.79,0.77,0.51,18.1
258.3498,2.9492,26,0.2968,30.5086,1.3836,0.1006,88.78,2.91,2.02,1.46,72.07
334.438,1.157,167,0.5777,54.8178,0.6846,0.4993,135.4,2.47,0.89,1.3,42.89
289.914,1.2444,204,0.8756,65.1185,4.7843,0.7037,137.4,2.11,2.44,0.51,13.25
264.3216,0.352,281,0.3742,104.5535,1.1636,1.0631,166.24,1.59,0.64,0.55,63.64
163.8732,2.6334,20,0.3214,39.3775,1.6587,0.122,80.33,2.04,2.09,1.26,67.21
149.52,2.5376,34,0.577,66.4533,2.3462,0.2274,99.68,1.5,2.44,1.04,42.26
74.9512,2.5596,12,0.4098,32.4408,2.1944,0.1601,49.31,1.52,2.37,1.08,59.85
147.168,0.6045,93,0.382,92.6984,6.2903,0.6319,116.8,1.26,1.95,0.31,60.64
152.7988,0.3596,247,0.5813,56.811,4.2759,1.6165,93.17,1.64,1.24,0.29,40.79
363.5099,0.8136,237,0.5304,59.583,6.2778,0.652,147.17,2.47,2.26,0.36,48.45
140.904,0.9576,93,0.632,48.1871,0.5414,0.66,82.4,1.71,0.72,1.33,35.31
349.8176,1.0486,92,0.2758,112.9318,4.3673,0.263,198.76,1.76,2.14,0.49,72.13
127.7172,1.5594,36,0.4396,52.4808,0.8188,0.2819,81.87,1.56,1.13,1.38,56.58
174.5216,0.6288,164,0.5909,56.3409,0.3664,0.9397,99.16,1.76,0.48,1.31,42.57
110.528,1.0374,23,0.2159,91.3455,3.193,0.2081,100.48,1.1,1.82,0.57,76.41
50.2524,4.0542,6,0.4841,12.8182,1.3391,0.1194,25.38,1.98,2.33,1.74,51.91
414.2346,0.9821,240,0.569,46.3344,0.3789,0.5794,138.54,2.99,0.61,1.61,42.8
238.4211,2.772,72,0.8371,127.0292,1.5909,0.302,174.03,1.37,2.1,1.32,15.38
125.4459,2.6373,22,0.4625,17.0812,1.1879,0.1754,46.29,2.71,1.77,1.49,55.3
215.4581,0.4712,345,0.7545,75.4379,0.3065,1.6012,127.49,1.69,0.38,1.24,22.58
566.566,0.5504,880,0.8549,69.2657,1.3438,1.5532,198.1,2.86,0.86,0.64,14.05
337.0032,0.2646,1154,0.9061,72.2315,0.6667,3.4243,156.02,2.16,0.42,0.63,9.53
39.204,1.0368,27,0.714,21.5111,2.5312,0.6887,29.04,1.35,1.62,0.64,30.57
225.036,0.8938,193,0.7666,173.1579,0.7523,0.8576,197.4,1.14,0.82,1.0899999999999999,24.46
130.005,2.3085,39,0.6925,71.3333,2.5579,0.3,96.3,1.35,2.43,0.95,29.0
29.986,3.055,2,0.2038,3.5655,1.8077,0.0667,10.34,2.9,2.35,1.3,79.21
15.5636,1.8209,2,0.234,5.7866,0.9424,0.1285,9.49,1.64,1.31,1.39,76.56
533.3614,0.7742,429,0.6227,65.2063,1.2405,0.8043,186.49,2.86,0.98,0.79,36.74
287.934,0.2484,424,0.3658,58.4234,0.8519,1.4726,129.7,2.22,0.46,0.54,62.79
230.7572,1.0752,75,0.3495,29.2242,3.4286,0.325,82.12,2.81,1.92,0.56,65.23
122.2419,0.918,71,0.5332,34.9572,0.3922,0.5808,65.37,1.87,0.6,1.53,46.35
76.6122,3.3631,11,0.4829,25.3046,1.1775,0.1436,44.03,1.74,1.99,1.69,53.1
250.8304,0.312,436,0.5423,114.5135,0.5128,1.7382,169.48,1.48,0.4,0.78,46.12
49.1232,1.9448,9,0.3563,6.6397,1.7981,0.1832,18.06,2.72,1.87,1.04,64.34
84.341,0.4095,57,0.2768,63.7739,1.0317,0.6758,73.34,1.15,0.65,0.63,71.3
101.326,1.6728,24,0.3962,75.3017,3.6176,0.2369,87.35,1.16,2.46,0.68,61.61
406.6101,0.585,325,0.4676,45.4816,8.6538,0.7993,135.99,2.99,2.25,0.26,52.1
62.4446,1.6974,8,0.2175,33.2701,2.5244,0.1281,45.58,1.37,2.07,0.82,76.43
155.703,1.3365,51,0.4378,77.2183,0.7333,0.3275,109.65,1.42,0.99,1.35,55.27
543.588,3.5112,61,0.394,64.1924,1.5197,0.1122,186.8,2.91,2.31,1.52,61.83
424.8793,0.1394,988,0.3242,49.4915,1.2059,2.3254,145.01,2.93,0.41,0.34,67.15
72.8273,0.244,105,0.3518,31.9404,0.6557,1.4418,48.23,1.51,0.4,0.61,64.25
148.4168,2.3595,19,0.3021,26.2017,1.1538,0.128,62.36,2.38,1.65,1.43,68.35
369.4284,0.2156,1132,0.6606,94.2323,0.898,3.0642,186.58,1.98,0.44,0.49,34.53
300.4284,0.7956,296,0.7839,94.8202,1.3077,0.9853,168.78,1.78,1.02,0.78,21.74
300.8896,0.345,588,0.6742,97.1364,1.6304,1.9542,170.96,1.76,0.75,0.46,33.44
478.272,0.8142,290,0.4937,83.0333,1.7101,0.6063,199.28,2.4,1.18,0.69,52.41
291.7782,2.0207,82,0.5679,111.179,1.3802,0.281,180.11,1.62,1.67,1.21,43.84
193.905,2.322,73,0.8742,56.0484,1.3953,0.3765,104.25,1.86,1.8,1.29,11.24
60.2919,1.024,35,0.5944,7.7455,0.4,0.5805,21.61,2.79,0.64,1.6,41.28
190.7838,0.8925,71,0.3321,69.2349,0.6303,0.3721,114.93,1.66,0.75,1.19,68.19
250.475,2.925,25,0.2919,40.076,1.7308,0.0998,100.19,2.5,2.25,1.3,72.02
68.6313,0.1886,296,0.8134,55.7027,1.122,4.3129,61.83,1.11,0.46,0.41,19.03
79.4464,0.3472,128,0.5594,13.3443,0.9032,1.6111,32.56,2.44,0.56,0.62,44.33
248.9235,2.0116,53,0.4283,109.1722,2.2766,0.2129,164.85,1.51,2.14,0.94,59.05
198.009,1.336,66,0.4453,22.9082,2.0875,0.3333,67.35,2.94,1.67,0.8,54.97
296.5456,1.0472,116,0.4096,65.9811,1.3523,0.3912,139.88,2.12,1.19,0.88,60.39
171.1435,0.9476,98,0.5426,81.4,0.8932,0.5726,118.03,1.45,0.92,1.03,46.3
110.3672,3.364,7,0.2134,24.5566,1.6,0.0634,52.06,2.12,2.32,1.45,78.65
289.4925,0.486,389,0.6531,38.28,6.6667,1.3437,105.27,2.75,1.8,0.27,35.43
157.5632,1.4796,53,0.4977,78.1408,0.7883,0.3364,110.96,1.42,1.08,1.3699999999999999,50.55
247.8784,0.7236,232,0.6772,49.4018,1.6119,0.9359,110.66,2.24,1.08,0.67,30.97
343.6992,0.7975,141,0.3272,46.4559,0.3793,0.4102,126.36,2.72,0.55,1.45,69.05
179.571,0.3657,464,0.9449,40.719,1.3019,2.5839,85.51,2.1,0.69,0.53,3.59
83.9188,3.1476,13,0.4876,14.8151,1.8915,0.1549,35.26,2.38,2.44,1.29,52.99
246.568,0.3132,354,0.4497,41.0776,1.0741,1.4357,100.64,2.45,0.58,0.54,56.45
315.2357,1.7296,59,0.3237,35.2609,1.9574,0.1872,105.43,2.99,1.84,0.94,68.9
360.1719,2.9097,65,0.5251,109.9392,1.1509,0.1805,198.99,1.81,1.83,1.59,49.05
184.1836,0.6258,177,0.6014,48.9381,3.5476,0.961,94.94,1.94,1.49,0.42,41.48
453.8135,0.5166,523,0.5954,75.6041,0.3254,1.1525,185.23,2.45,0.41,1.26,40.59
138.897,3.0248,24,0.5227,26.2565,1.3092,0.1728,60.39,2.3,1.99,1.52,47.67
83.7838,3.2028,8,0.3058,13.2988,1.2994,0.0955,33.38,2.51,2.04,1.57,69.06
420.0174,1.0764,267,0.6843,47.6162,0.5652,0.6357,141.42,2.97,0.78,1.38,31.32
348.5889,1.2876,203,0.7498,41.1649,0.9569,0.5823,119.79,2.91,1.11,1.16,26.84
86.7459,4.233,12,0.5856,18.0868,1.4647,0.1383,39.61,2.19,2.49,1.7,42.95
288.6148,0.161,1449,0.8083,131.7635,1.3143,5.0205,195.01,1.48,0.46,0.35,21.13
293.1038,0.376,325,0.4169,83.8182,1.7021,1.1088,156.74,1.87,0.8,0.47,59.63
117.5616,1.6929,22,0.3168,108.6923,1.7273,0.1871,113.04,1.04,1.71,0.99,69.01
